Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,107.000,9.346,0.672,0.977,3.982,19.145,20.400,20.564,27.600,28.957,0.107
1,117.000,8.627,0.607,0.870,1.388,18.081,19.929,20.790,29.060,29.088,0.116
2,106.000,9.322,0.583,0.869,12.001,14.301,19.859,20.801,21.604,29.040,0.107
3,119.000,8.399,0.505,0.841,1.661,15.844,19.619,20.587,20.799,28.551,0.119
4,103.000,9.774,0.672,1.030,11.902,18.717,20.485,24.336,36.018,37.009,0.102
5,108.000,9.241,0.637,1.003,2.813,18.442,20.639,21.545,29.742,32.053,0.108
6,97.000,10.234,0.464,0.746,11.905,18.745,20.713,21.559,61.236,61.236,0.098
7,112.000,8.929,0.457,0.642,0.854,18.781,20.763,27.743,28.811,29.080,0.112
8,116.000,8.647,0.453,0.930,1.176,17.906,20.314,22.637,29.728,36.253,0.116
9,121.000,8.250,0.691,0.934,1.088,16.439,19.578,20.590,21.409,23.497,0.121
10,121.000,8.330,0.680,0.860,1.021,17.736,20.076,20.814,21.608,21.648,0.120
11,133.000,7.560,0.486,1.010,1.198,13.251,19.144,21.118,27.607,28.821,0.132
12,94.000,10.420,0.694,0.967,11.918,19.225,20.553,21.586,53.270,53.270,0.096
13,122.000,8.183,0.602,0.657,0.876,16.197,20.247,20.680,29.142,30.027,0.122
14,119.000,8.596,0.551,0.806,0.892,18.695,20.792,25.325,31.904,35.678,0.116
15,116.000,8.476,0.594,0.845,11.953,13.332,19.480,20.820,21.113,28.168,0.118
16,118.000,8.486,0.592,0.765,0.880,17.887,19.940,20.797,26.806,28.211,0.118
17,108.000,9.273,0.530,0.704,11.988,13.355,20.750,21.571,25.171,28.328,0.108
18,95.000,10.397,0.425,0.610,11.931,17.386,21.539,30.168,59.245,59.245,0.096
19,111.000,9.036,0.445,0.479,11.824,13.245,19.878,20.934,34.281,34.307,0.111
