Time,Second,Number of Sorts,State
12:45:09,1,566,
12:45:10,2,125654,
12:45:11,3,127756,
12:45:12,4,168207,
12:45:13,5,177165,
12:45:14,6,177486,
12:45:15,7,177544,
12:45:16,8,177535,
12:45:17,9,177327,
12:45:18,10,177697,
12:45:19,11,139589,
12:45:20,12,171138,
12:45:21,13,177300,
12:45:22,14,177453,
12:45:23,15,177953,
12:45:24,16,178054,
12:45:25,17,139456,START
12:45:26,18,108484,
12:45:27,19,109456,
12:45:28,20,109745,
12:45:29,21,110211,
12:45:30,22,109235,
12:45:31,23,110405,
12:45:32,24,106077,
12:45:33,25,131883,COMPLETE
12:45:34,26,139923,
12:45:35,27,168515,
12:45:36,28,177795,
12:45:37,29,178025,
12:45:38,30,178274,
12:45:39,31,178243,
12:45:40,32,178280,
12:45:41,33,178071,
12:45:42,34,178051,
12:45:43,35,178159,
