Linux 4.4.0-142-generic (vmuser) 	11/10/2024 	_x86_64_	(1 CPU)

02:17:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:33 AM  all   54.46    0.00   21.78    0.00    0.00    0.00    0.00    0.00    0.00   23.76
02:17:34 AM  all   13.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   84.00
02:17:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:17:36 AM  all    0.99    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00   92.08
02:17:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:17:38 AM  all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:17:39 AM  all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:17:40 AM  all    1.01    0.00    2.02   22.22    0.00    0.00    0.00    0.00    0.00   74.75
02:17:41 AM  all    1.01    0.00    2.02   96.97    0.00    0.00    0.00    0.00    0.00    0.00
02:17:42 AM  all    0.00    0.00    1.01    4.04    0.00    0.00    0.00    0.00    0.00   94.95
02:17:43 AM  all   16.83    0.00    5.94    0.99    0.00    0.00    0.00    0.00    0.00   76.24
02:17:44 AM  all   78.00   12.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:45 AM  all   62.00   37.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:46 AM  all   53.00   45.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:47 AM  all   64.00   25.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:48 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:49 AM  all   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:50 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:51 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:53 AM  all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:54 AM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:55 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:57 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:58 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:59 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:00 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:01 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:02 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:03 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:04 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:05 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:06 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:07 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:09 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:10 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:11 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:12 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:13 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:14 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:15 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:16 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:17 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:18 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
