Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,110.000,9.103,0.807,1.175,11.569,16.805,20.193,21.319,28.567,33.773,0.110
1,114.000,8.809,0.755,1.065,1.551,17.834,20.419,21.387,28.508,28.843,0.114
2,109.000,9.242,0.715,1.009,11.575,18.253,20.233,21.346,28.673,28.796,0.108
3,106.000,9.351,0.733,0.991,11.141,15.525,21.344,28.345,29.041,45.945,0.107
4,96.000,10.370,0.700,1.017,11.676,18.088,26.150,28.929,46.863,46.863,0.096
5,108.000,9.324,0.615,0.903,1.043,18.432,27.088,28.522,44.890,54.262,0.107
6,93.000,10.606,0.532,0.945,1.444,18.895,27.887,30.189,53.345,53.345,0.094
7,117.000,8.619,0.430,0.790,1.014,14.668,24.439,27.890,36.773,38.368,0.116
8,104.000,9.579,0.626,0.939,11.690,18.204,20.437,27.517,29.797,45.686,0.104
9,117.000,8.571,0.625,0.945,3.072,17.136,20.167,20.459,22.880,37.085,0.117
10,111.000,8.974,0.555,0.912,11.704,17.031,19.365,20.510,21.382,27.759,0.111
11,104.000,9.602,0.686,1.083,11.700,17.143,19.610,20.701,35.609,78.761,0.104
12,99.000,10.161,0.721,1.101,1.212,19.293,27.651,28.414,45.892,45.892,0.098
13,111.000,8.957,0.700,0.981,1.178,18.724,21.915,27.941,38.774,41.713,0.112
14,104.000,9.541,0.670,1.026,1.194,19.744,21.341,27.272,30.501,31.980,0.105
15,99.000,10.137,0.964,1.160,11.129,18.767,27.351,28.489,36.874,36.874,0.099
16,104.000,9.671,1.010,1.170,5.565,18.281,20.544,27.265,35.625,36.778,0.103
17,101.000,9.835,0.999,1.164,11.690,18.740,20.179,21.327,27.555,28.535,0.102
18,100.000,10.005,0.922,1.157,1.209,18.853,20.277,27.356,52.616,52.616,0.100
19,111.000,8.980,0.942,1.156,1.219,17.808,20.194,21.979,28.517,29.825,0.111
20,117.000,8.628,0.922,1.153,1.238,16.766,20.177,20.984,28.488,28.495,0.116
21,106.000,9.580,0.958,1.129,1.186,18.876,20.558,28.510,38.004,53.497,0.104
22,97.000,9.989,0.936,1.159,11.146,18.848,21.910,27.394,37.654,37.654,0.100
23,72.000,14.019,0.561,1.019,1.215,19.544,26.512,36.867,246.481,246.481,0.071
24,106.000,9.370,0.583,0.904,11.611,18.271,21.351,26.485,28.814,30.209,0.107
25,100.000,10.088,0.475,0.871,11.683,16.606,20.434,27.511,86.330,86.330,0.099
26,104.000,9.518,0.469,0.856,11.704,18.670,20.489,21.373,27.990,28.496,0.105
27,113.000,8.847,0.517,0.886,11.705,15.258,20.194,20.908,28.560,33.047,0.113
28,89.000,11.270,0.587,0.992,11.743,18.695,21.386,28.719,37.698,37.698,0.089
29,83.000,11.979,0.482,0.898,11.720,19.483,20.581,27.502,99.145,99.145,0.083
30,95.000,10.633,0.463,0.888,11.719,19.006,20.556,28.689,44.317,44.317,0.094
31,101.000,9.883,0.453,0.894,1.010,18.660,21.356,28.711,37.601,37.842,0.101
32,74.000,13.593,0.580,1.009,11.716,20.171,28.673,36.788,69.174,69.174,0.074
33,101.000,9.758,0.465,0.875,1.010,18.106,26.997,28.465,35.082,35.239,0.102
34,104.000,9.768,0.639,0.974,11.721,18.558,21.281,27.241,27.955,28.799,0.102
35,104.000,9.446,0.653,1.001,11.699,19.011,20.465,21.329,26.203,29.860,0.106
36,115.000,8.735,0.490,0.893,1.114,18.204,20.298,20.560,28.636,38.165,0.114
37,123.000,8.094,0.416,0.511,1.003,13.075,20.236,23.978,25.136,32.249,0.124
38,99.000,10.104,0.448,0.521,11.203,18.279,21.729,28.528,51.846,51.846,0.099
39,105.000,9.606,0.443,0.508,11.077,18.937,23.733,28.215,36.121,36.709,0.104
40,81.000,12.118,0.459,0.789,11.544,20.186,28.519,34.650,78.715,78.715,0.083
41,100.000,10.063,0.453,0.832,11.161,19.287,27.904,29.139,38.128,38.128,0.099
42,106.000,9.397,0.459,0.873,0.986,18.113,21.504,27.664,36.260,43.897,0.106
43,120.000,8.325,0.484,0.971,1.167,15.549,20.151,20.641,27.917,28.715,0.120
44,115.000,8.694,0.480,0.912,1.412,18.186,19.302,20.588,28.520,28.650,0.115
45,89.000,11.275,0.405,0.960,11.754,19.112,20.382,22.503,69.940,69.940,0.089
46,99.000,10.008,0.465,0.950,11.712,18.862,20.606,21.346,37.031,37.031,0.100
47,86.000,11.683,0.463,0.733,11.713,20.161,27.898,29.097,46.359,46.359,0.086
48,113.000,8.905,0.513,0.977,1.027,18.092,20.359,28.098,34.257,39.451,0.112
49,104.000,9.599,0.447,0.957,11.177,18.915,21.349,28.033,29.128,29.809,0.104
50,95.000,10.483,0.462,0.904,0.989,19.753,28.454,32.811,40.402,40.402,0.095
51,117.000,8.518,0.455,0.811,0.969,17.857,20.452,26.432,30.419,38.735,0.117
52,96.000,10.539,0.444,0.936,11.719,18.764,20.529,24.721,72.712,72.712,0.095
53,110.000,9.007,0.452,0.825,1.687,18.386,19.602,21.148,33.386,40.865,0.111
54,95.000,10.619,0.464,0.967,11.940,19.281,21.511,25.265,27.763,27.763,0.094
55,117.000,8.414,0.468,0.873,0.975,17.349,20.580,23.607,29.221,33.716,0.119
56,109.000,9.131,0.455,0.834,11.990,18.226,19.548,20.672,31.231,42.161,0.110
57,104.000,9.653,0.442,0.892,11.985,18.072,20.856,25.300,29.089,30.098,0.104
58,131.000,7.609,0.381,0.712,0.955,13.331,19.411,20.655,28.132,28.730,0.131
59,87.000,11.238,0.450,0.770,11.926,18.454,21.591,28.703,64.640,64.640,0.089
