Time,Second,Number of Sorts,State
12:51:06,1,381,
12:51:07,2,125361,
12:51:08,3,127750,
12:51:09,4,166358,
12:51:10,5,179087,
12:51:11,6,178590,
12:51:12,7,178274,
12:51:13,8,178823,
12:51:14,9,178504,
12:51:15,10,178447,
12:51:16,11,137438,
12:51:17,12,175982,
12:51:18,13,179714,
12:51:19,14,179329,
12:51:20,15,179201,
12:51:21,16,178716,
12:51:22,17,161073,
12:51:23,18,159770,
12:51:24,19,128189,
12:51:25,20,129165,
12:51:26,21,125300,
12:51:27,22,127328,
12:51:28,23,128014,
12:51:29,24,128737,
12:51:30,25,128566,
12:51:31,26,121242,
12:51:32,27,125884,
12:51:33,28,141054,
12:51:34,29,169090,
12:51:35,30,178334,
12:51:36,31,179293,
12:51:37,32,179201,
12:51:38,33,179096,
12:51:39,34,178987,
12:51:40,35,179045,
12:51:41,36,179206,
