Time,Second,Number of Sorts,State
12:39:13,1,240,
12:39:14,2,114717,
12:39:15,3,138565,
12:39:16,4,163025,
12:39:17,5,149538,
12:39:18,6,175858,
12:39:19,7,179270,
12:39:20,8,179456,
12:39:21,9,179585,
12:39:22,10,179253,
12:39:23,11,135640,
12:39:24,12,179095,
12:39:25,13,179166,
12:39:26,14,178906,
12:39:27,15,178922,
12:39:28,16,174982,
12:39:29,17,117859,
12:39:30,18,91700,
12:39:31,19,92177,
12:39:32,20,92258,
12:39:33,21,94312,
12:39:34,22,94556,
12:39:35,23,89359,
12:39:36,24,127047,
12:39:37,25,132418,
12:39:38,26,148906,
12:39:39,27,175370,
12:39:40,28,178880,
12:39:41,29,178505,
12:39:42,30,178772,
12:39:43,31,179137,
12:39:44,32,179350,
12:39:45,33,179286,
12:39:46,34,178648,
12:39:47,35,176296,
