Time,Second,Number of Sorts,State
12:56:50,1,636,
12:56:51,2,123707,
12:56:52,3,128920,
12:56:53,4,167853,
12:56:54,5,179569,
12:56:55,6,179477,
12:56:56,7,179637,
12:56:57,8,179682,
12:56:58,9,179658,
12:56:59,10,179606,
12:57:00,11,139432,
12:57:01,12,171538,
12:57:02,13,179566,
12:57:03,14,179656,
12:57:04,15,179640,
12:57:05,16,179700,
12:57:06,17,163680,
12:57:07,18,168832,
12:57:08,19,168111,
12:57:09,20,167758,
12:57:10,21,166475,
12:57:11,22,146597,
12:57:12,23,138767,
12:57:13,24,135506,
12:57:14,25,137432,
12:57:15,26,137398,
12:57:16,27,137699,
12:57:17,28,137673,
12:57:18,29,137900,
12:57:19,30,137719,
12:57:20,31,122338,
12:57:21,32,133164,
12:57:22,33,139757,
12:57:23,34,167203,
12:57:24,35,179046,
12:57:25,36,178681,
12:57:26,37,179358,
12:57:27,38,179477,
12:57:28,39,179624,
12:57:29,40,179390,
12:57:30,41,179448,
12:57:31,42,179008,
12:57:32,43,179550,
12:57:33,44,179352,
12:57:34,45,179068,
