Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,96.000,10.509,0.639,1.035,11.504,18.893,20.397,29.043,38.594,38.594,0.095
1,109.000,9.174,0.499,0.703,11.191,17.617,20.554,22.280,28.881,28.927,0.109
2,108.000,9.443,0.490,0.720,3.369,18.247,22.401,27.679,35.710,46.450,0.106
3,118.000,8.239,0.646,0.824,1.610,16.612,19.510,20.646,26.359,36.131,0.121
4,101.000,9.877,0.639,0.780,2.754,18.556,20.042,21.476,62.427,71.005,0.101
5,117.000,8.593,0.607,0.720,11.531,13.063,20.012,20.713,25.952,29.040,0.116
6,109.000,9.168,0.480,0.624,1.275,17.937,20.785,26.569,47.753,55.514,0.109
7,104.000,9.592,0.456,0.654,11.542,18.729,21.175,28.229,35.351,35.855,0.104
8,96.000,10.457,0.592,0.632,11.646,19.203,27.848,28.479,46.086,46.086,0.096
9,111.000,8.986,0.541,0.632,0.860,18.158,21.347,28.289,36.724,45.079,0.111
10,116.000,8.533,0.595,0.707,1.004,16.143,20.541,21.333,36.187,37.734,0.117
11,121.000,8.311,0.495,0.817,2.905,13.144,19.238,20.361,27.244,35.836,0.120
12,105.000,9.531,0.778,0.944,11.660,17.101,20.042,22.258,30.463,88.035,0.105
13,112.000,8.905,0.785,0.922,11.675,17.278,20.179,20.730,27.632,27.633,0.112
14,108.000,9.248,0.800,0.848,11.695,18.351,20.443,21.245,29.692,30.715,0.108
15,96.000,10.348,0.651,0.900,11.679,19.197,26.235,28.892,36.972,36.972,0.097
16,89.000,11.419,0.799,0.961,11.705,20.315,28.504,28.735,36.575,36.575,0.088
17,124.000,8.007,0.608,0.824,0.967,17.077,20.182,21.477,35.982,37.928,0.125
18,94.000,10.670,0.731,0.823,11.642,19.650,26.658,28.565,52.979,52.979,0.094
19,111.000,8.900,0.774,0.838,0.974,16.564,20.455,21.489,50.895,52.304,0.112
20,114.000,8.708,0.650,0.891,1.190,16.226,20.118,21.335,35.287,61.054,0.115
21,110.000,9.079,0.711,0.851,11.702,18.193,20.229,20.370,21.359,21.603,0.110
22,99.000,10.110,0.479,0.778,11.186,18.996,20.544,26.566,65.646,65.646,0.099
23,104.000,9.678,0.463,0.676,11.290,18.826,22.782,27.722,29.761,31.021,0.103
24,99.000,10.046,0.476,0.730,11.674,18.523,21.886,28.921,43.331,43.331,0.100
25,100.000,10.119,0.638,0.725,11.572,19.778,20.814,27.072,36.689,36.689,0.099
26,100.000,9.851,0.619,0.726,0.979,19.002,21.281,28.284,58.880,58.880,0.102
27,104.000,9.727,0.477,0.723,11.683,18.938,20.670,27.449,28.195,28.929,0.103
28,106.000,9.310,0.621,0.750,11.613,18.252,20.604,21.406,27.758,34.297,0.107
29,123.000,8.018,0.584,0.740,0.981,16.933,20.226,21.363,26.505,27.524,0.125
30,103.000,9.866,0.389,0.844,11.691,17.669,20.156,21.710,50.706,53.876,0.101
31,109.000,9.063,0.576,0.777,0.994,18.281,20.670,27.509,35.429,37.055,0.110
32,109.000,9.157,0.456,0.699,10.967,18.502,20.468,21.338,29.465,29.729,0.109
33,131.000,7.661,0.450,0.474,0.727,13.009,21.228,34.328,44.938,46.458,0.131
34,90.000,11.055,0.542,0.698,11.686,19.041,21.311,29.807,77.170,77.170,0.090
35,115.000,8.693,0.439,0.634,0.752,18.151,20.528,21.457,28.708,36.177,0.115
36,108.000,9.247,0.396,0.657,11.711,13.048,19.765,20.636,28.980,29.109,0.108
37,100.000,10.002,0.465,0.790,11.694,18.414,20.431,22.439,52.002,52.002,0.100
38,110.000,9.038,0.587,0.737,1.014,18.601,20.446,21.202,28.514,38.173,0.111
39,126.000,7.928,0.579,0.802,1.002,13.084,20.489,23.350,28.857,29.697,0.126
40,106.000,9.572,0.583,0.731,1.015,18.520,21.311,28.109,37.775,40.442,0.104
41,96.000,10.516,0.508,0.946,11.691,19.073,21.334,28.520,37.322,37.322,0.095
42,103.000,9.479,0.585,0.718,11.672,17.519,20.564,21.853,29.696,35.944,0.105
43,92.000,10.996,0.579,0.720,11.670,19.305,21.443,27.755,95.378,95.378,0.091
44,102.000,9.683,0.575,0.705,11.043,18.668,21.310,24.670,36.692,36.891,0.103
45,112.000,9.134,0.495,0.725,11.681,18.441,20.165,25.888,28.970,32.169,0.109
46,111.000,8.890,0.553,0.701,11.670,15.923,20.224,21.346,28.968,29.010,0.112
47,107.000,9.247,0.555,0.708,11.165,18.189,20.696,26.472,28.859,30.128,0.108
48,107.000,9.429,0.569,0.708,0.973,19.248,21.354,27.846,36.625,36.766,0.106
49,111.000,8.912,0.566,0.699,0.962,18.545,20.596,26.561,36.998,37.947,0.112
50,104.000,9.696,0.566,0.703,1.048,18.631,20.378,27.081,54.826,65.770,0.103
51,108.000,9.423,0.571,0.708,11.575,18.979,21.321,25.309,34.206,37.103,0.106
52,119.000,8.185,0.562,0.698,0.961,17.737,20.200,28.296,29.805,36.171,0.122
53,108.000,9.206,0.564,0.704,11.710,18.124,20.200,20.660,28.757,36.604,0.109
54,125.000,8.033,0.391,0.654,0.952,18.145,20.001,20.265,22.148,22.287,0.124
55,112.000,8.984,0.471,0.699,11.670,18.504,20.451,21.391,27.839,28.510,0.111
56,109.000,9.101,0.548,0.713,1.039,18.023,20.550,24.817,30.219,45.110,0.110
57,87.000,11.581,0.390,0.706,11.656,20.138,21.854,28.815,60.753,60.753,0.086
58,105.000,9.601,0.454,0.939,1.026,19.072,21.335,28.570,29.634,32.503,0.104
59,104.000,9.309,0.700,0.961,1.131,18.918,21.311,28.461,29.666,31.467,0.107
