Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,118,39088,8607571968,0,5,0,375.0559625422168,1832123521,1755971,0,0,1812779008,442573,56434
2,4,4,62,38273,8607571968,0,6,0,383.8342259269905,1835906589,1752231,0,0,1816588288,443503,42070
3,4,5,66,38659,8607571968,0,6,0,394.9749138510891,1908207630,1741840,0,0,1888841728,461143,64186
4,3,4,153,38457,8607571968,0,5,0,402.42866647595764,1934111305,1739475,0,0,1914716160,467460,55435
5,4,4,43,41605,8607571968,0,6,0,375.6482580707194,1953205488,1734722,0,0,1933815808,472123,70798
6,4,5,63,37217,8607571968,0,6,0,386.21672643233364,1796274693,1758663,0,0,1776975872,433832,51357
7,4,5,111,40232,8607571968,0,6,0,387.1235816740001,1946390130,1737156,0,0,1926991872,470457,91239
8,3,5,136,37477,8607571968,0,5,0,399.40176622544834,1870585489,1743579,0,0,1851277312,451972,16370
9,3,4,126,37901,8607571968,0,5,0,391.69200981608043,1855281628,1749502,0,0,1835950080,448230,46679
10,4,4,43,38068,8607571968,0,6,0,389.3259180327869,1852200308,1750953,0,0,1832861696,447476,66039
