Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,79,39000,8607571968,0,5,0,373.6012466919684,1820906893,1749543,0,0,1801641984,439854,17648
2,3,4,184,41879,8607571968,0,5,0,387.796299080597,2029658869,1721951,0,0,2010234880,490780,61450
3,3,4,126,39357,8607571968,0,5,0,371.51186440677964,1827300916,1749542,0,0,1808023552,441412,14158
4,3,5,169,39324,8607571968,0,5,0,393.1915556346804,1932274963,1737901,0,0,1912897536,467016,20880
5,4,4,41,39782,8607571968,0,6,0,392.53859540449497,1951587621,1735535,0,0,1932193792,471727,62192
6,4,4,55,41908,8607571968,0,6,0,386.0427510500191,2021879520,1728082,0,0,2002415616,488871,65386
7,4,5,103,39830,8607571968,0,6,0,385.4244196359071,1918478529,1742139,0,0,1899089920,463645,67654
8,3,5,102,39006,8607571968,0,5,0,396.6825966513679,1933664860,1737294,0,0,1914290176,467356,6101
9,3,4,146,38801,8607571968,0,5,0,383.99086568549114,1861999318,1744424,0,0,1842700288,449878,26855
10,4,4,103,41770,8607571968,0,6,0,386.2723495666332,2016418959,1726465,0,0,1996980224,487544,76389
