Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,156,36695,8607571968,0,5,0,413.6688469651958,1897028074,1742268,0,0,1877680128,458418,23531
2,4,5,29,38024,8607571968,0,6,0,396.9528928167495,1886256594,1744716,0,0,1866907648,455788,44384
3,2,5,126,37386,8607571968,0,4,0,369.0030712929028,1724000618,1751532,0,0,1704906752,416237,6102
4,4,3,54,38689,8607571968,0,6,0,382.09320560409446,1847494809,1750243,0,0,1828171776,446331,62134
5,2,4,118,36959,8607571968,0,4,0,371.68094558246514,1716721310,1752576,0,0,1697632256,414461,7074
6,4,5,61,37819,8607571968,0,6,0,389.85747331676095,1842546402,1751268,0,0,1823223808,445123,48655
7,4,4,94,41097,8607571968,0,6,0,394.008125179471,2023659576,1724314,0,0,2004226048,489313,76938
8,4,5,120,40495,8607571968,0,6,0,380.2487901210175,1924321779,1742957,0,0,1904914432,465067,46113
9,3,4,150,37920,8607571968,0,5,0,392.6094417132609,1860560065,1746387,0,0,1841246208,449523,26664
10,4,6,62,37478,8607571968,0,6,0,393.20782514944494,1841573043,1749821,0,0,1822265344,444889,31248
