Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,105.000,9.618,0.614,1.000,2.070,18.504,20.538,27.969,33.512,36.731,0.104
1,98.000,10.038,0.514,0.733,1.137,19.338,27.435,35.943,43.424,43.424,0.100
2,102.000,9.864,0.481,0.699,11.592,19.222,21.185,27.772,35.670,36.849,0.101
3,112.000,8.865,0.479,0.664,11.584,16.443,20.492,21.646,25.934,28.197,0.113
4,129.000,7.877,0.483,0.883,1.059,14.571,19.350,20.441,37.511,67.956,0.127
5,124.000,7.965,0.591,0.852,1.481,15.546,19.889,20.404,20.959,21.386,0.126
6,107.000,9.410,0.592,0.893,11.625,18.305,20.058,21.406,48.438,49.811,0.106
7,96.000,10.375,0.595,0.888,11.736,19.098,20.496,21.324,29.851,29.851,0.096
8,111.000,8.903,0.586,0.850,11.584,16.868,20.195,21.325,28.804,28.975,0.112
9,95.000,10.599,0.572,0.641,11.688,19.410,24.689,28.188,30.173,30.173,0.094
10,98.000,10.225,0.445,0.646,11.172,18.440,27.153,29.200,37.998,37.998,0.098
11,106.000,9.433,0.464,0.719,11.405,18.550,20.691,22.777,37.270,37.300,0.106
12,103.000,9.983,0.693,0.950,11.718,19.018,20.314,21.328,28.823,50.779,0.100
13,106.000,9.124,0.668,0.849,1.281,18.161,20.148,20.512,29.707,52.526,0.110
14,103.000,9.692,0.675,0.823,11.677,19.081,20.402,21.401,49.186,51.179,0.103
15,116.000,8.655,0.653,0.871,11.687,17.430,20.152,20.538,23.854,28.802,0.116
16,102.000,9.785,0.689,0.993,11.688,18.877,20.482,26.054,28.092,36.034,0.102
17,114.000,8.774,0.666,1.070,1.142,17.775,20.318,21.314,27.792,29.576,0.114
18,117.000,8.481,0.757,1.047,1.106,17.815,20.251,21.344,29.372,36.125,0.118
19,64.000,15.576,0.840,1.111,11.719,20.162,24.576,28.581,281.641,281.641,0.064
20,112.000,8.934,0.663,0.975,1.174,17.183,21.322,28.526,29.005,29.812,0.112
21,103.000,9.740,0.670,0.858,11.697,18.089,19.651,20.530,50.691,60.919,0.103
22,108.000,9.177,0.643,0.958,11.712,15.699,19.330,20.353,25.926,31.700,0.109
23,109.000,9.311,0.576,0.923,11.738,18.034,20.169,20.531,26.852,28.017,0.107
24,101.000,9.829,0.623,0.702,1.039,18.198,21.275,27.951,45.564,54.495,0.102
25,110.000,9.077,0.619,0.812,1.023,17.981,20.564,28.107,37.022,44.800,0.110
26,94.000,10.535,0.601,0.720,11.680,19.332,22.120,28.614,39.777,39.777,0.095
27,110.000,9.106,0.663,0.718,11.189,18.571,20.501,27.415,28.899,30.192,0.110
28,108.000,9.321,0.499,0.709,11.205,16.315,20.423,21.544,51.263,60.803,0.107
29,105.000,9.581,0.623,0.668,11.721,18.741,20.110,20.671,27.681,27.816,0.104
30,114.000,8.633,0.629,0.696,11.705,17.764,19.398,20.602,21.374,27.713,0.116
31,115.000,8.707,0.487,0.687,11.711,17.203,19.392,20.512,28.211,29.021,0.115
32,101.000,9.891,0.617,0.692,11.702,19.184,20.498,21.249,28.102,45.557,0.101
33,110.000,9.130,0.615,0.669,11.669,13.061,20.118,20.666,28.480,36.142,0.110
34,100.000,10.005,0.595,0.669,0.858,18.759,25.114,28.823,54.824,54.824,0.100
35,116.000,8.703,0.573,0.658,0.843,17.466,20.551,27.670,29.690,36.026,0.115
36,102.000,9.720,0.598,0.658,11.561,19.395,20.667,24.124,28.000,29.695,0.103
37,112.000,8.881,0.614,0.726,11.700,18.289,19.471,20.633,21.377,28.360,0.113
38,109.000,9.218,0.552,0.712,11.718,19.045,20.059,20.666,21.486,29.072,0.108
39,117.000,8.434,0.603,0.672,0.944,18.702,20.213,21.353,28.167,28.202,0.119
40,129.000,7.845,0.396,0.716,0.967,16.376,20.205,21.351,27.759,27.798,0.127
41,97.000,10.334,0.607,0.735,11.679,18.092,21.350,28.487,60.897,60.897,0.097
42,99.000,10.173,0.607,0.704,11.695,19.062,21.295,27.211,35.999,35.999,0.098
43,117.000,8.503,0.602,0.675,0.930,18.565,20.647,26.678,28.974,30.203,0.118
44,110.000,8.980,0.604,0.668,0.914,18.584,21.449,28.844,36.243,36.868,0.111
45,108.000,9.289,0.561,0.682,11.713,18.085,20.005,27.804,28.998,29.003,0.108
46,122.000,8.195,0.609,0.692,0.962,16.726,19.442,20.669,21.672,25.371,0.122
47,118.000,8.370,0.453,0.692,0.962,13.094,19.140,27.870,31.132,63.940,0.119
48,112.000,8.987,0.623,0.687,11.685,18.248,20.025,20.556,21.361,21.367,0.111
49,88.000,11.386,0.610,0.732,11.731,20.028,27.166,28.880,46.798,46.798,0.088
50,99.000,10.135,0.624,0.761,11.623,19.157,21.340,28.137,43.519,43.519,0.099
51,106.000,9.298,0.605,0.711,1.685,18.593,20.541,28.310,36.649,49.389,0.108
