Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,10.013,0.662,1.212,11.991,18.963,20.275,20.734,22.845,22.845,0.100
1,149.000,6.719,0.584,0.847,1.097,13.442,19.235,20.123,20.905,21.615,0.149
2,119.000,8.359,0.515,0.792,11.208,13.340,19.679,20.729,21.644,21.662,0.120
3,117.000,8.551,0.493,0.790,11.888,13.242,19.573,20.968,26.743,27.778,0.117
4,90.000,11.217,0.493,0.999,11.945,19.173,20.784,21.569,98.594,98.594,0.089
5,118.000,8.662,0.551,0.837,1.860,16.648,19.470,20.663,28.816,57.140,0.115
6,126.000,7.740,0.455,0.608,0.869,13.313,19.580,19.912,20.974,46.413,0.129
7,118.000,8.455,0.437,0.716,11.937,13.325,19.435,20.605,20.893,21.063,0.118
8,140.000,7.091,0.435,0.656,0.804,13.318,19.901,20.878,20.939,21.120,0.141
9,131.000,7.720,0.445,0.591,0.835,13.257,19.143,20.136,22.711,25.314,0.130
10,117.000,8.424,0.442,0.702,11.208,13.243,19.994,20.833,26.957,29.140,0.119
11,20.000,62.915,0.446,1.153,14.905,20.406,420.983,443.934,443.934,443.934,0.016
12,5.000,387.021,13.369,21.645,219.904,220.077,1460.108,1460.108,1460.108,1460.108,0.003
13,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
14,7.000,209.056,1.061,1.075,1.224,418.694,1023.154,1023.154,1023.154,1023.154,0.005
15,7.000,69.995,1.043,1.143,17.825,208.164,221.472,221.472,221.472,221.472,0.014
16,78.000,11.041,0.713,0.804,1.503,17.539,19.939,21.613,220.277,220.277,0.091
17,105.000,9.507,0.811,1.152,11.970,18.300,20.107,20.387,21.538,21.551,0.105
18,120.000,8.259,0.864,1.162,1.853,15.981,19.274,20.428,21.637,25.839,0.121
19,85.000,11.887,0.586,1.040,11.941,16.667,19.440,20.479,276.250,276.250,0.084
20,107.000,9.297,0.468,0.978,11.987,18.013,20.576,20.643,21.586,21.659,0.108
21,117.000,8.492,0.445,0.731,1.082,17.733,19.847,20.611,20.856,21.541,0.118
22,117.000,8.513,0.439,0.747,0.974,18.509,20.326,20.824,51.266,61.011,0.117
23,110.000,9.113,0.451,0.921,11.915,15.858,19.331,20.362,21.574,29.188,0.110
24,118.000,8.467,0.437,0.856,1.106,17.415,19.492,20.507,21.557,24.063,0.118
25,115.000,8.757,0.792,1.037,1.204,18.122,19.777,20.596,29.080,30.280,0.114
26,119.000,8.348,0.597,0.963,11.926,13.340,19.629,20.628,20.855,21.647,0.120
27,125.000,7.965,0.469,0.950,1.032,13.876,19.709,20.509,21.607,23.982,0.126
28,130.000,7.973,0.440,0.728,0.977,13.240,19.326,19.967,51.525,53.221,0.125
29,120.000,8.085,0.430,0.764,0.974,18.820,20.366,20.936,22.508,25.117,0.124
30,108.000,9.178,0.451,0.837,11.903,19.300,20.574,20.807,21.796,26.655,0.109
31,113.000,8.901,0.435,0.907,11.986,13.326,19.165,19.748,20.882,21.625,0.112
32,112.000,8.951,0.455,0.909,11.994,13.327,19.570,20.763,21.638,22.389,0.112
33,119.000,8.386,0.435,0.826,1.683,17.193,19.832,20.646,20.816,21.665,0.119
34,117.000,8.564,0.442,0.752,0.987,16.620,20.257,20.790,34.578,54.286,0.117
35,113.000,8.784,0.442,0.832,1.000,17.998,20.385,21.559,25.527,55.124,0.114
36,136.000,7.298,0.450,0.813,0.976,13.241,18.400,19.480,20.741,20.758,0.137
37,103.000,9.729,0.382,0.893,11.982,17.456,20.384,20.631,22.464,27.061,0.103
38,129.000,7.742,0.433,0.756,0.995,13.319,19.208,20.428,20.860,20.878,0.129
39,120.000,8.467,0.431,0.766,11.964,13.337,19.386,20.412,20.736,25.272,0.118
40,113.000,8.760,0.398,0.856,11.887,13.234,19.623,20.814,26.481,57.956,0.114
41,100.000,10.005,0.438,0.907,11.922,13.981,20.160,20.631,56.852,56.852,0.100
42,121.000,8.227,0.432,0.814,11.292,13.242,19.273,20.398,20.800,20.805,0.122
43,137.000,7.375,0.376,0.794,0.954,17.427,19.462,20.616,21.523,29.034,0.136
44,108.000,9.185,0.443,0.907,11.988,17.209,20.414,20.857,21.765,25.317,0.109
45,109.000,9.118,0.432,0.927,12.006,15.039,19.484,20.660,20.930,21.642,0.110
46,116.000,8.722,0.393,0.814,11.928,16.483,20.186,20.629,20.839,24.350,0.115
47,107.000,9.297,0.439,0.825,11.891,17.307,20.569,21.535,49.022,55.785,0.108
48,116.000,8.523,0.433,0.832,0.990,18.462,20.168,20.603,20.826,22.152,0.117
49,136.000,7.403,0.429,0.776,0.967,16.786,19.639,20.590,21.077,25.152,0.135
50,110.000,9.002,0.396,0.959,11.974,13.370,19.852,20.676,22.612,31.868,0.111
51,112.000,9.092,0.432,0.930,11.982,19.021,20.017,20.697,21.636,21.640,0.110
52,113.000,8.762,0.448,0.911,11.951,15.155,19.473,19.775,20.753,21.645,0.114
53,111.000,8.952,0.437,0.799,11.890,13.244,19.613,20.723,52.608,57.193,0.112
54,117.000,8.563,0.438,0.886,1.129,17.271,20.343,20.638,23.374,27.411,0.117
55,130.000,7.778,0.429,0.777,0.971,16.639,19.413,19.991,20.577,28.100,0.129
56,96.000,10.273,0.438,0.947,11.739,18.167,19.658,20.540,31.440,31.440,0.097
57,126.000,8.036,0.373,0.817,11.694,13.044,19.077,20.354,20.731,21.360,0.124
58,125.000,7.900,0.433,0.784,0.979,13.090,19.242,20.460,21.227,21.473,0.127
59,110.000,9.025,0.453,0.875,1.000,18.263,20.175,20.618,32.008,62.276,0.111
