Time,Second,Number of Sorts,State
12:42:39,1,251,
12:42:40,2,122267,
12:42:41,3,128571,
12:42:42,4,170494,
12:42:43,5,180045,
12:42:44,6,179931,
12:42:45,7,179315,
12:42:46,8,180113,
12:42:47,9,180200,
12:42:48,10,179896,
12:42:49,11,142244,
12:42:50,12,171324,
12:42:51,13,180160,
12:42:52,14,180229,
12:42:53,15,180142,
12:42:54,16,179914,
12:42:55,17,174501,
12:42:56,18,179046,
12:42:57,19,175504,
12:42:58,20,178610,
12:42:59,21,178086,
12:43:00,22,178038,
12:43:01,23,160460,
12:43:02,24,164682,
12:43:03,25,165245,
12:43:04,26,165405,
12:43:05,27,173341,
12:43:06,28,179044,
12:43:07,29,172304,
12:43:08,30,165674,
12:43:09,31,127105,
12:43:10,32,148384,
12:43:11,33,175379,
12:43:12,34,179880,
12:43:13,35,179406,
12:43:14,36,179934,
12:43:15,37,179521,
12:43:16,38,179928,
12:43:17,39,180008,
12:43:18,40,179598,
12:43:19,41,179418,
12:43:20,42,179815,
12:43:21,43,179758,
12:43:22,44,179916,
12:43:23,45,179588,
