Time,Second,Number of Sorts,State
12:54:57,1,347,
12:54:58,2,118459,
12:54:59,3,127157,
12:55:00,4,164820,
12:55:01,5,174644,
12:55:02,6,175544,
12:55:03,7,175708,
12:55:04,8,175327,
12:55:05,9,176387,
12:55:06,10,175926,
12:55:07,11,136720,
12:55:08,12,168584,
12:55:09,13,174726,
12:55:10,14,175341,
12:55:11,15,174536,
12:55:12,16,175810,
12:55:13,17,169824,
12:55:14,18,172953,
12:55:15,19,170157,
12:55:16,20,173301,
12:55:17,21,172687,
12:55:18,22,172451,
12:55:19,23,172753,
12:55:20,24,164815,
12:55:21,25,168098,
12:55:22,26,173009,
12:55:23,27,171759,
12:55:24,28,172073,
12:55:25,29,172941,
12:55:26,30,173231,
12:55:27,31,172287,
12:55:28,32,173131,
12:55:29,33,172416,
12:55:30,34,172479,
12:55:31,35,172512,
12:55:32,36,173173,
12:55:33,37,172631,
12:55:34,38,173202,
12:55:35,39,173158,
12:55:36,40,172881,
12:55:37,41,172247,
12:55:38,42,171560,
12:55:39,43,171981,
12:55:40,44,162261,
12:55:41,45,161189,
12:55:42,46,161083,
12:55:43,47,160527,
12:55:44,48,160686,
12:55:45,49,160999,
12:55:46,50,145253,
12:55:47,51,142673,
12:55:48,52,169495,
12:55:49,53,175582,
12:55:50,54,175592,
12:55:51,55,175383,
12:55:52,56,176127,
12:55:53,57,175694,
12:55:54,58,175600,
12:55:55,59,175931,
12:55:56,60,174903,
12:55:57,61,176298,
12:55:58,62,175278,
12:55:59,63,175550,
12:56:00,64,171163,
12:56:01,65,175422,
