Time,Second,Number of Sorts,State
13:01:15,1,346,
13:01:16,2,110772,
13:01:17,3,123352,
13:01:18,4,159445,
13:01:19,5,179370,
13:01:20,6,179272,
13:01:21,7,179143,
13:01:22,8,179386,
13:01:23,9,179308,
13:01:24,10,179216,
13:01:25,11,138270,
13:01:26,12,175648,
13:01:27,13,178831,
13:01:28,14,178828,
13:01:29,15,178869,
13:01:30,16,178421,
13:01:31,17,175589,
13:01:32,18,177396,
13:01:33,19,171502,
13:01:34,20,143615,
13:01:35,21,171968,
13:01:36,22,176868,
13:01:37,23,176378,
13:01:38,24,176239,
13:01:39,25,178015,
13:01:40,26,178101,
13:01:41,27,177333,
13:01:42,28,177972,
13:01:43,29,178129,
13:01:44,30,178333,
13:01:45,31,178337,
13:01:46,32,177696,
13:01:47,33,177792,
13:01:48,34,178301,
13:01:49,35,178154,
13:01:50,36,178401,
13:01:51,37,176940,
13:01:52,38,178340,
13:01:53,39,177883,
13:01:54,40,177968,
13:01:55,41,177925,
13:01:56,42,177741,
13:01:57,43,178536,
13:01:58,44,178250,
13:01:59,45,177838,
13:02:00,46,173159,
13:02:01,47,176918,
13:02:02,48,178371,
13:02:03,49,177433,
13:02:04,50,177550,
13:02:05,51,173295,
13:02:06,52,171124,
13:02:07,53,172219,
13:02:08,54,171602,
13:02:09,55,172221,
13:02:10,56,172100,
13:02:11,57,171350,
13:02:12,58,146010,
13:02:13,59,132483,
13:02:14,60,138623,
13:02:15,61,166447,
13:02:16,62,178517,
13:02:17,63,178155,
13:02:18,64,178882,
13:02:19,65,179334,
13:02:20,66,179100,
13:02:21,67,149362,
13:02:22,68,163315,
13:02:23,69,179327,
13:02:24,70,179332,
13:02:25,71,179138,
13:02:26,72,178782,
13:02:27,73,179478,
13:02:28,74,178474,
13:02:29,75,178715,
