Time,Second,Number of Sorts,State
12:31:01,1,218,
12:31:02,2,124672,
12:31:03,3,117952,
12:31:04,4,164666,
12:31:05,5,176658,
12:31:06,6,176823,
12:31:07,7,176773,
12:31:08,8,177080,
12:31:09,9,177117,
12:31:10,10,177039,
12:31:11,11,138866,
12:31:12,12,170266,
12:31:13,13,176765,
12:31:14,14,176888,
12:31:15,15,176928,
12:31:16,16,176892,
12:31:17,17,167254,
12:31:18,18,155776,
12:31:19,19,154427,
12:31:20,20,154503,
12:31:21,21,153784,
12:31:22,22,160026,
12:31:23,23,161402,
12:31:24,24,82221,
12:31:25,25,131204,
12:31:26,26,139326,
12:31:27,27,168107,
12:31:28,28,177097,
12:31:29,29,177068,
12:31:30,30,177132,
12:31:31,31,177097,
12:31:32,32,176780,
12:31:33,33,176800,
12:31:34,34,176981,
12:31:35,35,176967,
