Time,Second,Number of Sorts,State
12:36:48,1,337,
12:36:49,2,121687,
12:36:50,3,127588,
12:36:51,4,165991,
12:36:52,5,177837,
12:36:53,6,178692,
12:36:54,7,178715,
12:36:55,8,179562,
12:36:56,9,179947,
12:36:57,10,179823,
12:36:58,11,140532,
12:36:59,12,171134,
12:37:00,13,174540,
12:37:01,14,178789,
12:37:02,15,178800,
12:37:03,16,179104,
12:37:04,17,179251,
12:37:05,18,179171,
12:37:06,19,179174,
12:37:07,20,179096,
12:37:08,21,179186,
12:37:09,22,178975,
12:37:10,23,179184,
12:37:11,24,179171,
12:37:12,25,179214,
12:37:13,26,163327,
12:37:14,27,135323,
12:37:15,28,143705,
12:37:16,29,173095,
12:37:17,30,179577,
12:37:18,31,179285,
12:37:19,32,179034,
12:37:20,33,179268,
12:37:21,34,179253,
12:37:22,35,179093,
