Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,10.040,0.652,1.261,11.994,19.072,20.465,20.719,28.966,28.966,0.100
1,110.000,9.022,0.679,0.945,11.941,18.390,20.390,20.527,22.093,29.086,0.111
2,120.000,8.271,0.742,1.017,1.566,13.357,19.583,20.525,20.778,20.820,0.121
3,109.000,9.277,0.752,1.017,11.940,16.621,19.727,20.706,21.728,22.363,0.108
4,116.000,8.573,0.451,0.985,1.781,15.013,20.179,21.432,28.707,39.757,0.117
5,113.000,8.857,0.455,0.835,1.175,17.191,20.802,25.224,35.029,37.367,0.113
6,96.000,10.361,0.507,0.787,11.934,18.509,21.021,26.464,96.505,96.505,0.097
7,141.000,7.123,0.466,0.549,0.805,13.297,19.223,19.562,20.853,21.661,0.140
8,120.000,8.255,0.473,0.747,11.450,13.349,20.009,20.893,21.658,21.895,0.121
9,120.000,8.374,0.459,0.644,11.489,13.327,19.852,20.635,24.769,29.171,0.119
10,124.000,8.095,0.462,0.555,1.031,13.253,20.346,21.563,28.571,28.812,0.124
11,127.000,7.851,0.488,0.914,1.066,14.864,19.612,20.582,21.540,25.856,0.127
12,110.000,9.154,0.725,0.911,2.932,16.229,20.412,21.551,53.990,56.978,0.109
13,105.000,9.454,0.810,1.101,11.997,17.918,20.308,20.604,27.896,29.892,0.106
14,118.000,8.458,0.950,1.149,1.218,17.021,19.345,20.630,28.912,31.366,0.118
15,119.000,8.357,0.924,1.112,1.228,17.961,19.304,20.483,27.808,27.817,0.120
16,111.000,9.077,0.702,1.143,11.919,17.950,20.307,20.565,26.448,27.678,0.110
17,104.000,9.602,0.971,1.145,11.894,19.076,20.431,21.582,28.732,28.751,0.104
18,92.000,10.749,0.918,1.143,11.701,19.049,20.850,28.537,61.858,61.858,0.093
19,91.000,11.009,0.927,1.154,2.512,18.915,26.762,28.786,71.447,71.447,0.091
